Transaction ID,Customer ID,Transaction Date,Transaction Amount,Merchant Category,Transaction Type,Card Type,Customer Age,Customer Gender,Customer Location
a650ca32-321e-4a23-9191-cf9c22e0dd6c,b919ae4d-e613-439c-ada6-3461a0bea73c,2020-04-17,307.42,Healthcare,Refund,Amex,77,Male,West Jamesville
06bbca97-aa21-4c21-b2be-10c1766c7198,fc5a73d4-32d7-44c2-92e5-361b3bfeda68,2021-07-20,512.42,Healthcare,Refund,MasterCard,59,Female,Harperfort
83bdc537-962c-4a16-850b-150d4a2adfa0,04d79d75-5fb6-45ab-a17b-a947390bbbbf,2023-01-31,310.46,Clothing,Refund,Visa,83,Male,East Julie
fccc0a20-10c7-438d-8504-1a2f75910e9e,0f0bea76-143c-4c8b-b6bb-7903e3425197,2024-01-30,460.29,Restaurant,Refund,Amex,56,Female,West Elizabethville
58ef3afc-b55a-4e20-92de-c5eb3835312b,28150d98-805c-4d84-86cd-d376b9eb7521,2021-10-25,888.96,Grocery,Refund,Amex,52,Female,Wellsmouth
1767c9f3-5827-42a1-b9e6-84a4967a2c03,2cd46cff-9193-48ca-81f4-940a905e8b69,2022-05-17,647.74,Restaurant,Purchase,MasterCard,67,Male,North Anthony
7b37188a-e4d7-4a58-952d-2cf3d2b71da7,03ab4c5b-f292-4c06-bd69-8ab39fbf3979,2021-05-06,731.7,Electronics,Purchase,MasterCard,88,Male,South Robinfurt
383cebee-2ee3-4be8-9677-03eb265989a1,361ef8ef-4740-4235-881a-29f8d7b98318,2022-12-20,658.04,Healthcare,Refund,Amex,38,Male,South Lisaland
549e882b-1213-47c9-af81-d7c08cd1804d,5d8c1021-d2b4-440c-94d0-a99883a4dd89,2022-03-20,908.17,Electronics,Purchase,Discover,36,Male,New Catherineside
728cf048-21a3-4a8d-8926-5197039f543f,3b75cac6-c513-499b-bfff-aa95fd766fec,2022-01-16,294.74,Travel,Purchase,Discover,62,Female,Gibsonstad
99786500-0c4a-4882-b64c-b36f0a86bf82,913a9829-a3cc-4287-a4d9-fc5221b7e945,2023-04-25,642.26,Healthcare,Refund,Amex,41,Male,South Heather
30d95df1-fe2b-463e-a1ff-eb974b1b759e,27e2e6ca-de5f-4ab4-8061-b0f0e8ea939d,2023-04-09,843.84,Healthcare,Refund,Amex,74,Male,Port Robertchester
7198fdae-fedd-40e8-a2f0-75cf98be5a42,1d78d168-1e40-4c54-aab3-bb87612eb284,2020-03-08,657.25,Utilities,Refund,Amex,20,Male,Wellsland
7cdbdb34-6dec-48ad-b34f-52a821763c5a,25d04b39-11f3-4a93-90ff-0cbbfca9bfb0,2023-07-21,812.93,Clothing,Refund,Discover,73,Male,Kevinland
341e7c72-b3af-4f59-b1eb-44bc2096825e,17cb23bb-e174-446e-bc0d-65d852e37df7,2021-07-07,638.08,Restaurant,Refund,Visa,52,Male,East Craig
83460729-dfa2-475b-9def-af3aa2e5379c,7e57b000-b9eb-409b-b883-afde14a30ea3,2022-07-12,329.28,Travel,Refund,Visa,29,Female,Bishopview
8bb95bfe-313a-4b09-af02-444964ba4901,de1cb44b-0db6-4ab8-8be4-7809ad3e13dc,2023-09-19,988.39,Utilities,Refund,Amex,40,Female,Lake Tamaraview
aaa56345-d94c-413b-9621-cbfda18131b8,ef022c68-51e3-466e-9cd8-314f0d791c89,2020-02-02,108.14,Healthcare,Purchase,Visa,84,Female,Goodhaven
471c16a7-b155-4ef1-86d7-1a6a3f265c02,dd1c8b28-7f8d-48c2-9717-0d35b900d5dc,2021-12-26,310.66,Travel,Purchase,Amex,61,Female,Edwardsport
c21b1e51-526a-4fee-b3d8-af5c167351ab,7109a64a-0922-465c-b4fb-73813c3b85f0,2023-06-14,334.91,Clothing,Purchase,MasterCard,49,Male,Higginsbury
b2feb51a-6f50-4012-9fbf-f0e828cc0c04,a4bc7a2e-3caf-46a9-b4ca-bd2b0bf98447,2022-02-16,477.58,Utilities,Purchase,Discover,55,Male,West Jimhaven
981cf750-3f4b-4d15-969b-2e983757316e,eb8774a3-fae3-4821-94ba-000c1e1d92b0,2023-09-19,231.02,Utilities,Refund,Discover,51,Male,Lake Rebeccamouth
36b45537-aaae-417d-beb6-fe4c7a2e3b1e,78c1c6c5-3408-40ce-977d-7efcc1daa717,2024-02-28,463.14,Grocery,Purchase,Amex,63,Female,Colonburgh
4feab5ef-3721-4fed-ba86-e19232e6fd4a,f2bf9d46-6018-430d-b614-18b6c52a58d2,2021-01-24,207.39,Electronics,Purchase,MasterCard,80,Male,Stephaniechester
958f6685-c493-4422-8df3-94b72f67b1ac,0f7fb97f-5c70-47f1-afa7-15384277cdf1,2021-11-10,961.3,Healthcare,Purchase,Visa,23,Female,Port Kelli
4248ab3c-ff66-474c-b4e7-5fa1058ca7ee,adce3721-951c-4f12-ac5b-b6da06aa1ecd,2024-01-15,253.61,Grocery,Refund,MasterCard,81,Female,Karenmouth
